65;11017;4.0;ул. Глушкова, 38б (КиевЭнерго)
67;11012;4.0;ул. Олеговская, 34б                    
68;11002;4.0;ул. Саперно-Слободская, 20        
71;11015;9224;ул. Красногвардейская, 20   ( вулиця Гната Хоткевича )            
79;11008;4.0;Северная, 3                           
86;11014;9917;Шевченка, 38/40             
94;11016;4.0;Крайняя,1 (КиевЭнерго)         
100;11009;4.0;Рабочая, 1 (КиевЭнерго) 
101;11007;4.0;Жмеринская, 14 (КиевЭнерго)   
107;11024;9917;Депутатская, 2 (КиевЭнерго)    
118;11021;4.0;пр-т Науки, 47 (КиевЭнерго)              
124;11023;4400;пр-т Маршала Рокоссовского, 8б (КиевЭнерго)
131;11020;4400;Здолбуновская, 2 (КиевЭнерго)
183;11034;4400;Резервная, 8 (КиевЭнерго) 
204;11028;4400;Светлицкого, 35
205;11029;4400;пр-т Освободителей, 1 (outdoor Lucent)
210;11019;4400;Бориспольская, 15
215;11031;4400;Богомольца, 4
219;11033;4400;Григоренка, 40  (outdoor Lucent)
226;11036;4400;Майдан Незалежности, 2
235;11032;4400;ул. Соломенская, 3
237;11037;4400;Белецкого, 34
271;11035;4400;Мазепи,34 (ул. Лаврська,16)
273;11038;4400;Трутенка, 2    (вул. Максимовича Михайла )
304;11039;4400;ул. Суворова, 4/6  ( вулиця Михайла Омеляновича-Павленка )
341;11001;9917;Дорогожицкая, 10
343;11042;4400;Чалого, 3
381;11050;2400;Симиренка, 10                          
397;11043;4400;Жилянская, 85 (КиевЭнерго) 
423;11041;4400;ул. Гречка Маршала, 13                     
425;11046;4400;ул. Маяковского, 75/2 (outdoor Lucent)
428;11045;4400;пр. Краснозвездный, 119  (проспект Валерія Лобановського )
433;11013;4400;ул. Ивана Кудри, 11-А  (outdoor Lucent)
450;11011;4400;пр-т Воссоединения, 15 (просп. Соборності)
483;11048;9224;ул. Гетьмана, 27                        
493;11022;2400;ул. Декабристов, 12/37               
496;11044;9224;ул. Заболотного, 3 (outdoor ЕЖУ)
499;11052;2400;ул. Урловская,1/8                            
544;11026;9224;ул. Васильковская, 1 (outdoor Lucent)             
547;11027;4400;ул. Пуховская, 1 (outdoor Lucent)
726;11053;9224;ул. Героев Сталинграда,12 (outdoor ЕЖУ)
727;11057;9917;ул. Ревуцкого, 1  (КиевЭнерго) 
743;11054;9224;ул. Дегтяревская, 51 (outdoor ЕЖУ)
747;11055;9224;бульв. Дружбы Народов, 28  (outdoor Lucent)
883;11056;9224;ул. Шота Руставели, 39-41 (outdoor Lucent)
1094;11058;9224;ул. 66-я Садовая (ITC)
1095;11059;9224;ул. Фрунзе, 160 (ITC)  (вулиця Кирилівська )
1097;11062;9224;ул. Братиславська, 3 (ITC)
1098;11072;9224;ул. Маршала Тимошенко, 2л (ITC)
1100;11077;9224;ул. Харьковское шоссе, 56 (ITC)
1104;11063;9224;ул. Вербицького, 10 (ITC)
1105;11064;9224;ул. Вишняковская, 3 (ITC)
1106;11075;9224;ул. Сагайдака, 114-А (ITC) ( Євгена Маланюка )
1107;11065;9224;ул. Героїв Сталiнградy, 43 б (ITC) (outdoor Lucent)
1109;11079;9224;ул. Артема, 1-5 (ITC)   (вулиця Січових Стрільців)
1113;11080;9224;Пуща-Водиця, 14 лiнiя, санат. компл. Пуща-Озерна (ITC)
1114;11070;9224;ул.Куреневская, 18  (ITC)
1117;11066;9224;ул. Гмыри, 3  (ITC)
1118;11071;9224;ул. Марины Расковой,19  (ITC)   (вулиця Євгена Сверстюка)
1119;11078;9224;ул. Ташкентская, 60  (ITC) (демонтировано)
1120;11076;9224;ул. Теодора Драйзера, 21  (демонтировано)
1122;11068;9224;ул. Закревского, 81/1  (ITC)
1126;11060;9224;ул. Амосова, 6  (ITC)
1128;11067;9224;ул. Энтузиастов, 1 (ITC) (демонтировано)
1131;11074;9224;ул. Патриса Лумумбы, 4/6, корп. Б (ITC)
1132;11061;9917;ул. Бердичевская, 1 (ITC)
1134;11081;9224;пр-т Воздухофлотский, 10 (ITC)
1247;11083;9224;ул. Народного Ополченния, 5а (ІТC)
1248;11084;9224;ул. Богдана Хмельницкого, 8/16 (ITC)
1250;11086;9224;ул. Немировича-Данченка, 2 (ITC)
1251;11087;9224;ул. Эспланадная, 20 (ITC)
1252;11088;9224;ул. Липская, 5 (ITC)
1253;11089;9224;пр-т Отрадный, 103 (ITC)
1255;11090;9224;ул. Нагорная, 25-27 (ITC)
1256;11094;9224;ул. Горького, 180 (Антоновича)(ITC)
1257;11091;9224;ул. Большая окружная, 4 (ITC)
1258;11092;9224;ул. Фрунзе, 105 (ITC)  (вулиця Кирилівська )
1264;11095;9224;ул. Горького, 51 (Антоновича) (ITC)
1281;11097;9224;ул. Красноармейская/Бассейная 1-3/2   (вулиця Велика Васильківська )
1321;11098;2400;ул. Градинская,3
1386;11117;9224;ул. Полярная, 10 (ITC)
1387;11100;9224;ул. Промышленная,12 (Бортничи) (ITC) 
1408;11116;9224;ул. Северо-Сырецкая, 3 (ITC)
1411;11122;9224;пр. Московский, 16  б (ITC)  (проспект Степана Бандери)
1420;11118;9224;ул. Стеценка, 1а (ITC)
1430;11112;9224;ул. Межигорская, 83 (ITC)
1431;11113;9224;ул. Набережно-Крещатицкая, 10 (ITC)
1442;11134;9224;бульв. Академика Вернадского, 36 (outdoor Lucent)
1443;11120;9224;пр-т Победы, 49/2 (з-д Большевик)
1451;11133;9224;пер. Радищева, 4
1453;11123;9224;ул. Промышленная,4
1458;11105;9224;ул. Донецкая, 30
1493;11115;9224;ул. Озерная, 1
1497;11128;9224;ул. Курнатовского, 20
1508;11114;9224;ул. Новозабарская, 2/6 (Автозаводская,24)
1530;11129;9224;ул. Межигорская, 8 (outdoor Lucent)
1562;11135;9224;пр-кт Леся Курбаса, 2Б   (outdoor Lucent)                
1584;11107;4.0;ул. Электриков, 26               
1618;11101;4.0;ул. Стройиндустрии, 5 (ул. Деревообрабатывающая,4)
1666;11136;9224;ул. Феодоры Пушиной, 30/32
1676;11132;9224;пр. Науки, 46
1679;11110;9224;ул. Киото, 27
1707;11130;9224;Печерский спуск, 3
1715;11109;9224;ул. Калачевская, 13
1755;11096;9224;ул. Ахматовой, 15/27
1756;11137;9224;ул. Ломоносова,18
1772;11119;9224;парк Дружбы народов, 5
1810;11138;9224;пр-т Юрия Гагарина, 23 (outdoor Lucent)
1838;11103;9224;ул. Владимирская, 54 А
1948;11139;9224;ул. Героев Севастополя, 11В
2003;11140;9224;ул. Маршала Жукова,10
2010;11141;9224;ул .Картвелишвили, 7\2   (Володимира Покотила )
2051;11142;9224;ул. Героев Севастополя, 42
2048;-;2400;пр-т Оболонский, 22В (Оболонский ЦОА) (демонтировано)
2087;-;2400;пр-т Победы, 104 (ЦОА) (демонтировано)
2086;11146;9224;пр-т   Шухевича (Генерала Ватутина), 18  
2096;11150;9224;Столичное шоссе, 103 (outdoor ЕЖУ)
2102;11149;9224;ул. Подгорная, 7/36
2109;11148;9224;ул. Павловская, 29
2117;11153;9224;ул. Владимирская, 13
2125;11154;9224;ул. Фанерная, 4
2151;;9224;ул. Теодора Драйзера, 46
63;10106;9224;Бровары, ул. Грушевского,9 (ITC)
64;10012;9224;Белая Церковь,ул. П.Запорожца, 361 (вул.Івана Кожедуба)
66;10013;9917;Васильков,ул Парижской Коммуны, 82 
69;10001;9917;Винаровка (РРТ)
81;10002;9917;Калиновка, Макаровский р-н (РРТ)
82;10011;9224;Вишневое, ул.Киевская, 11  
83;10008;9917;Иванков, Бориспольский р-н (РРТ)
85;10014;9917;Лесники, Обуховский район
88;10010;9917;Буча, вул.  Михайла Гориня (Будьоного), 2а 
130;10075/10016;9224;Лютеж, ул. Победы, 2, Вишгородский р-н
137;10076/10005- в карточке?;9917;Тетиев, ул. Полевая,2, вишка КРРТ
138;10006;9224;Володарка, ул. Мира, 221А (РРТ)
151;10018;9224;Борисполь, вул. Запорізька, 2
162;10003;9917;Березань, вул.  Шевченків шлях (Леніна), 37 (РРТ)
165;10004;9917;Кагарлык, вежа КРРТ
166;10007;9917;Ракитное,вул. Поповича, 41 (РРТ)
187;10017;9224;Вышгород, Киевская, 10А
189;10077;9224+4400;Фастов (ул. Соборная,2)
221;10054;9917;Залесье, Броварской район
222;10036;9224;Тараща, ул. Степовая, 9а    (outdoor ЕЖУ, треуг ключ)
223;10021;9917;Бородянка, ул.Индустриальная, 2
228;10019;9917;Мироновка,ул.Ленина,130
239;10060;9917;Боярка, ул.  Соборності (40 лет Октября), 36
274;10026;9224;Сквира, Киевская, 25
289;10024;9917;Обухов, вул. Чумацький шлях (Жовтнева), 32
300;10028;9917;Переяслав-Хмельницкий,  вул. Петропавлівська, 34
344;10058;4400;Боровая, Фастовский р-н, ул. Нововокзальна, д.1
353;10078;9917;Яготин, ул. Згуровская, 1а
358;10034;9224;Белая Церковь-2, ул. Гординского, 2 ( Героїв Небесної Сотні)
369;10027;9224;Згуровка (Залізнична,16) - вул. Східна, 2 (переименована)
385;10079;9917;Обухов-2 (ул. Промышленная,1) - Украинка
394;10032;9224;Богуслав, ул. Окружная 1
396;10031;9917;Капитановка
449;10041;9917;Ирпень, ул. Стельмаха,9
484;10030;9224;94-й км. (с. Черкас, Таращанский перекр-к)
502;10033;9224;Счастливое, ул.Бориспольская,16 (outdoor ЕЖУ)
506;10040/10090;9224;Вита Почтова, в/городок 254 (outdoor ЕЖУ)
520;10039;9224;Бровары-2 (Вокзальная,10) 
524;10038;9917;Иванков, Иванковский р-н, ул. И.Проскуры,1
603;10029;9224;Глеваха, ул. Вокзальная,34
605;10051;9224;Борисполь-2, Ватутина, 71
636;10042;9224;Ворзель,ул. Захисників України (Дзержинского), 55 (треуг ключ) outDoor ЕЖУ
666;10049;9917;Ясногородка
714;10037;9224;Белая Церковь, бульв.  бул. Олександрійський (50 лет Победы), 94 (outdoor Lucent)
721;10044;9917;Переяслав-Хмельницкий-2, ул. Героев Днепра,46
724;10045;9917;Вышгород-2, Шолуденко,19 к.5 (outdoor ЕЖУ, треуг ключ)
733;10043;9917;Кагарлык-2, вул. Столична ( Карла Маркса),77
876;10050;9224;Барышевка (Комсомольская,18а) 
927;10047;9917;Яготин-2, ул. Лисенко (Сах. З-д) (Кузнецова,18)
932;10046;9224;Немешаево, ул. Биохимическая, 1 (элеват.)
999;10089;9917;Чупыра-2, ул. Первомайская, 2 (ITC)
1021;10056/10057;9224;Новоселки (Озерная, 20)  (outdoor ЕЖУ)
1067;10055/10086;9224;Дымер,ул. Революции, 181А (outdoor Lucent)
1144;10067;9224;"Бровары, ЗАО ""Броварской завод пластмасс"" (ITC)"
1149;10068;9224;Требухів, Броварський р-н, вул. Кільцева дорога,1 (ITC)
1154;10065;9224;Чубинське, Борисп. р-н, вул. Погребняка, 1 (ITC)
1158;10072;9224;Петропавлівська Борщагівка, вул. Антонова, 2,Чайка (ITC)
1166;10070;9224;Козин (Обуховский р-н, ул. Лесная 2) ITC
1169;10063;9224;Бориспіль-3 (ул. Шевченко, 20 А) ITC
1170;10074;9224;Софіївська Борщагівка, вул. Соборна (Леніна), 63 (ITC)
1172;10082;9224;Червоная Слобода, ул. Заводская, 3 (ITC)
1178;10083;9224;Боярка-2, ул. Кооперативная, 6 (ITC)
1190;10066;9224;Гоголев, Бров. р-н, ул. Жовтнева, 57 (ITC)
1197;10062;9224;Белая Церковь, ул. Леваневского, 83 (ITC) (демонтировано)
1199;10069;9224;Семиполки, Бровар. р-н, ул. Киевское шоссе, 2 (ITC)
1201;10061;9224;Узин, Белоцерковский р-н, ул. Маяковского, 2 с (ITC)
1205;10071;9224;Ставище, Ставищенский р-н, ул. Радянська, 9 (ITC)   (вул.Цимбала Сергія)
1271;10064;9224;Мирное, Борисп р-н, старинська птицефабр. (ITC)
1292;10084;9224;Фастов, ул.  Івана Мазепи (Інтернациональная), 6  (ITC)
1296;10087;9224;Подгорцы,Обуховський р-н, ул. Боровковая, 91  (ITC)
1329;10093;9224;Борисполь-4 (ул. Завокзальная, 5) (ITC)
1364;10094;9224;"Беспятное, Васильковский р-н, (вышка ТОВ ""УкрТауер"" Life)"
1399;10102;9224;Ирпень-2, ул. 3-го Интернационала, 105 б (ITC) (демонтировано)
1403;10096;9224;Старые Петровцы, Вишгородский р-н, ул. Полевая, 5 (ITC)
1409;10097;9224;Богуслав, ул. Острів, 1
1410;10101;9224;Вишневое-2, ул.Черновола, 54а (ITC)
1423;10095;9224;Ксаверовка (башня Укртауэр) (Lucent OutDoor)
1461;10109;4400;Новое Залесье, Бород р-н (башня Укртауэр)
1506;10113;9224;Вишневое-3, ул.Черновола, 1 (ITC)
1551;10110;9917;Малая Старица, вышка Укртауэр
1557;10048;9224;Чупыра (Укртауер)
1579;10081;2400;Макаров, ул. Ватутина, 60
1602;10100;9224;Бузовая (Садовского, 1б)
1687;10103;9917;Обухов, Обуховский р-н, ул. Каштановая, 52
1700;10112;9917;Мироновка, ул. Старченко,1А
1726;10099;9917;Глеваха,ул. Ботаническая, 15
1743;10105;9224;м. Тараща, вул. Революції, 2
1764;б/н;2400;Крюковщина (осветительній столб) (демонтировано)
1787;10114;9917;Бориспільський р-н, с. Старе, вул. Заводська, 1 (выключена)
1792;10116;9917;Переяслав-Хмельницький, вул. Б.Хмельницького, 32
1771;10104;9917;Згуровка, Ватутина,6
1812;10085;9224;Белая Церковь, ул. Росевая,14 (демонтировоно)
1814;10115;9224;Калинівка, вул. Залізнична,164, Васильківський р-н
1950;10119;9917;Борисполь, аэропорт
1981;10118;9224;Белогородка, ул. Садовая, 1 (Outdoor Lucent)
1994;10121;9224;Гостомель, ул. Свято-Покровська (Ленина), 141-П (Lucent Outd)
2001;10122;9224;Шевченково, Бровар. р-н, ул. Вокзальная, 1а (Lucent Outd)
2014;10120;9224;Калита, вул.Центральна (Леніна), 40, Броварський р-н (Lucent Outd)
2026;10123;9917;Гребенки, вул. Белоцерковская, 1 (Саливонки)
2049;10126;4400;Иванковский р-н, смт Иванков, ул. Полесская, 171 (Lucent Outd)
2064;10117;9224;Хотов, Києво-Святошинський р-н, пер. Ветеринарный, 3
2132;10128;9224;Песковка, ул. Жовтнева, 1
2153;10124;9224;Бориспільський р-н, Гнідинська сільська рада, урочище Млиново, вул. Княжна, 6
